Country,Population,GDP
Samoa,198410,"868,898,350.356664"
North Macedonia,2077132,"12,363,580,534.6811"
Djibouti,988002,"3,181,071,153.6622"
Jordan,10203140,"43,579,916,197.1831"
Pakistan,220892331,"300,425,609,206.18"
French Polynesia,280904,"5,731,835,679.23061"
Ireland,4994724,"425,852,281,928.114"
Mauritania,4649660,"8,405,498,735.74293"
Denmark,5831404,"355,222,449,505.211"
Namibia,2540916,"10,583,748,757.3345"
Ghana,31072945,"70,043,095,503.2503"
American Samoa,55197,"716,000,000.0"
Moldova,2617820,"11,531,967,881.0624"
Turks and Caicos Islands,38718,"924,583,000.0"
Seychelles,98462,"1,183,515,397.64891"
Armenia,2963234,"12,641,698,593.7908"
Equatorial Guinea,1402985,"10,099,157,995.5789"
Angola,32866268,"50,241,368,243.6314"
Tajikistan,9537642,"8,133,963,813.3329"
Poland,37950802,"599,442,783,603.187"
Saudi Arabia,34813867,"734,271,183,954.88"
Bosnia and Herzegovina,3280815,"20,226,030,731.0131"
New Caledonia,271960,"9,454,629,451.03219"
San Marino,33938,"1,541,247,884.00207"
Czechia,10698896,"245,974,558,654.043"
Guatemala,16858333,"77,715,183,063.2054"
Estonia,1331057,"31,370,395,572.7653"
Nepal,29136808,"33,433,659,223.1789"
Kosovo,1775378,"7,717,143,395.25699"
Botswana,2351625,"14,960,291,540.5283"
Philippines,109581085,"361,751,145,432.404"
Iraq,40222503,"180,924,091,442.953"
Lebanon,6825442,"31,712,128,253.7961"
Burundi,11890781,"2,649,680,261.01097"
Mongolia,3278292,"13,312,981,427.4023"
Faroe Islands,48865,"3,248,670,978.10165"
Paraguay,7132530,"35,432,177,936.3317"
Algeria,44700000,"145,743,722,826.258"
France,67391582,"2,639,008,701,648.21"
Netherlands,16655799,"909,793,466,661.466"
Greenland,56367,"3,082,909,157.60994"
Chad,16425859,"10,715,396,051.4388"
Finland,5530719,"271,886,077,382.097"
Panama,4314768,"57,086,836,942.4052"
Brazil,212559409,"1,476,107,292,036.59"
Nigeria,206139587,"432,198,936,002.177"
Palau,18092,"251,900,000.0"
Japan,125836021,"5,048,789,595,589.43"
Tanzania,59734213,"66,068,737,757.2651"
Kazakhstan,18754440,"171,082,365,723.326"
Portugal,10305564,"229,031,860,520.773"
Sri Lanka,21919000,"84,440,535,698.8207"
Germany,83240525,"3,889,668,895,299.56"
Myanmar,54409794,"78,930,259,068.5275"
Colombia,50882884,"270,150,956,772.567"
Peru,32971846,"201,947,603,715.409"
Senegal,16743930,"24,530,513,058.5946"
China,1402112000,"14,687,743,556,969.6"
Afghanistan,40218234,"20,143,451,705.7548"
Liberia,5057677,"3,039,982,500.0"
South Africa,59308690,"337,619,569,570.511"
Chile,19116209,"254,096,103,516.324"
Malta,525285,"15,046,136,935.4814"
Kiribati,119446,"177,553,260.108828"
Iceland,366425,"21,553,080,483.8132"
Vanuatu,307150,"909,421,043.508407"
Uruguay,3473727,"53,666,908,479.5585"
Oman,5106622,"75,909,397,659.2978"
Sudan,43849269,"27,034,593,750.0"
India,1380004385,"2,671,595,389,575.7"
Aruba,106766,"2,610,038,938.54749"
Comoros,869595,"1,225,039,195.93744"
Spain,47351567,"1,276,962,685,648.23"
Antigua and Barbuda,97928,"1,416,348,148.14815"
Uzbekistan,34232050,"60,224,701,295.7983"
Maldives,540542,"3,746,329,358.28788"
Indonesia,273523621,"1,059,054,842,711.72"
Malaysia,32365998,"337,339,463,179.961"
Eswatini,1160164,"3,982,236,726.3678"
Uganda,45741000,"37,605,430,214.347"
Madagascar,27691019,"13,051,441,203.4474"
Fiji,896444,"4,477,030,179.83128"
Norway,5379475,"367,633,418,886.627"
Cyprus,1207361,"25,008,266,159.2479"
Papua New Guinea,8947027,"23,848,442,440.267"
Rwanda,12952209,"10,172,925,171.5869"
Cameroon,26545864,"40,773,241,211.6941"
Serbia,6908224,"53,356,484,763.839"
Lithuania,2794700,"56,914,826,860.6918"
Cambodia,16718971,"25,872,797,892.0285"
United Arab Emirates,9890400,"349,473,015,330.157"
Bermuda,63903,"6,887,147,000.0"
Monaco,39244,"6,739,642,360.46694"
Cuba,11326616,"107,352,000,000.0"
Northern Mariana Islands,57557,"858,000,000.0"
Togo,8278737,"7,389,329,392.7704"
Luxembourg,632275,"73,992,591,285.3017"
Mauritius,1265740,"11,401,040,995.9946"
Argentina,45376763,"385,540,406,815.599"
Grenada,112519,"1,043,411,111.11111"
Nicaragua,6624554,"12,678,162,359.4021"
Ukraine,44134693,"156,617,719,786.254"
Guyana,786559,"5,471,256,594.72422"
Niger,24206636,"13,744,174,582.2532"
Benin,12123198,"15,651,545,208.8771"
Tuvalu,11792,"51,746,568.697119"
Lesotho,2142252,"2,117,736,527.79886"
Tonga,105697,"484,796,858.839009"
Georgia,3714000,"15,842,922,532.7202"
Ethiopia,114963583,"107,657,734,392.446"
Dominican Republic,10847904,"78,844,655,833.2194"
Belize,397621,"2,080,000,000.0"
Isle of Man,85032,"6,684,229,268.52985"
Morocco,36910558,"121,347,533,649.793"
Haiti,11402533,"14,508,222,518.158"
Burkina Faso,20903278,"17,933,606,212.6294"
Bangladesh,164689383,"373,902,196,399.317"
Kuwait,4270563,"105,948,765,156.029"
Jamaica,2961161,"13,812,421,859.4026"
Romania,19286123,"251,362,534,092.315"
Mexico,128932753,"1,090,514,966,785.91"
El Salvador,6486201,"24,930,080,000.0"
Turkmenistan,6031187,"45,610,571,428.5714"
Central African Republic,4829764,"2,326,720,902.35741"
Suriname,586634,"2,911,807,496.20227"
Belgium,11555997,"525,213,067,068.319"
Sweden,10353442,"547,054,174,235.876"
Bolivia,11673029,"36,629,843,806.0781"
Montenegro,621718,"4,769,995,511.55242"
Mozambique,31255435,"14,156,864,916.4711"
Latvia,1901548,"34,601,740,323.338"
Malawi,19129955,"12,056,108,780.2073"
Mali,20250834,"17,465,392,779.0366"
Austria,8917205,"435,225,238,000.43"
Albania,2837743,"15,162,734,205.2462"
Zambia,18383956,"18,110,638,619.3723"
Liechtenstein,38137,"6,405,765,970.4778"
Qatar,2881060,"144,411,363,345.27"
Solomon Islands,686878,"1,536,145,831.0639"
Nauru,10834,"124,685,686.622889"
Greece,10715549,"188,925,995,936.803"
Libya,6871287,"46,808,208,747.2754"
Guinea-Bissau,1967998,"1,431,758,231.68287"
Barbados,287371,"4,671,800,000.0"
Honduras,9904608,"23,827,859,694.7921"
Somalia,15893219,"6,883,000,000.0"
Cayman Islands,65720,"5,647,224,973.03878"
Italy,59554023,"1,897,210,466,667.52"
Andorra,77265,"2,891,001,149.40074"
Ecuador,17643060,"99,291,124,000.0"
Kenya,53771300,"100,657,505,600.655"
Bahrain,1701583,"34,621,807,712.766"
United Kingdom,67215293,"2,704,609,160,088.15"
Guinea,13132792,"14,177,835,840.8311"
Zimbabwe,14862927,"21,509,698,406.1116"
Guam,168783,"5,886,000,000.0"
Australia,25687041,"1,326,944,627,876.87"
Slovenia,2100126,"53,706,800,043.6833"
Belarus,9398861,"61,371,755,326.2351"
Thailand,69799978,"500,457,261,548.076"
New Zealand,5084300,"212,569,779,569.515"
Tunisia,11818618,"42,538,462,678.1201"
Marshall Islands,59194,"241,722,400.0"
Sierra Leone,7976985,"4,062,906,363.55623"
Bhutan,771612,"2,325,185,520.59339"
United States,329484123,"21,060,473,613,000.0"
Switzerland,8654622,"739,913,619,797.445"
Gabon,2225728,"15,314,577,167.8199"
Dominica,71991,"504,214,814.814815"
Canada,38005238,"1,647,598,402,302.68"
Trinidad and Tobago,1399491,"21,059,428,846.0153"
Puerto Rico,3194034,"103,130,900,000.0"
Singapore,5685807,"348,392,174,863.651"
Hungary,9749763,"157,227,094,449.074"
Costa Rica,5094114,"62,395,610,764.0705"
Israel,9216900,"413,267,669,231.522"
Bulgaria,6927288,"70,404,359,049.232"
Azerbaijan,10110116,"42,693,000,000.0"
Timor-Leste,1318442,"2,158,392,500.0"
Croatia,4047200,"57,624,938,982.3606"
